interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;406473.402907;36184.575926;5120.315007;7007.047649;623.772788;88.267254;41.568031;3.700418;0.523629;171.236821;15.243634;2.157057;7.876677;0.701188;0.099222;0;0;0;174.725056;15.554159;2.200998;-112320365;121.37;1.53
0.00;3000.00;806271971;73093.125568;4361.598741;3811.839350;1287.993515;76.856898;67.169441;7.531790;0.449436;0.392786;28.712669;1.713337;1.497379;1.121558;0.066925;0.058490;0;0;0;31.420013;1.874889;1.638568;-112326324#0;44.43;2.32
0.00;3000.00;806271971;523391.956863;13527.252816;20639.143043;8057.460555;208.247957;317.733352;49.124977;1.269653;1.937167;219.416917;5.670909;8.652363;9.974969;0.257807;0.393347;0;0;0;224.982633;5.814757;8.871838;-112326324#1;110.24;4.35
0.00;3000.00;806271971;50840.607921;12898.251481;1051.515799;725.625759;184.091102;15.007825;4.468883;1.133755;0.092428;19.922030;5.054215;0.412039;0.781887;0.198365;0.016171;0;0;0;21.854342;5.544442;0.452005;-112326325#0;20.13;0.42
0.00;3000.00;806271971;1065307.950514;9683.884104;22874.430488;12819.992718;116.536560;275.272546;83.065054;0.755080;1.783584;416.734610;3.788209;8.948180;16.741903;0.152188;0.359484;0;0;0;457.930980;4.162694;9.832753;-112326325#1;526.50;11.30
0.00;3000.00;806271971;128715.282370;19676.221509;1945.724950;2154.246316;329.311539;32.564671;12.817563;1.959373;0.193757;51.731459;7.907994;0.781999;2.182312;0.333602;0.032989;0;0;0;55.329515;8.458015;0.836389;-112326326#0;46.92;0.71
0.00;3000.00;806271971;712000.764799;11342.106966;13671.112957;8109.846283;129.189108;155.717002;53.348390;0.849835;1.024341;276.834644;4.409951;5.315497;10.964825;0.174669;0.210535;0;0;0;306.059080;4.875493;5.876634;-112326326#1;336.83;6.47
0.00;3000.00;806271971;2821838.337115;30024.880338;30401.570475;37779.477474;401.980608;407.023830;238.183512;2.534316;2.566112;1144.015715;12.172538;12.325254;48.992371;0.521288;0.527828;0;0;0;1212.984488;12.906379;13.068301;-112326326#2;929.75;10.02
0.00;3000.00;806271971;2335.507470;288.928759;1541.117174;23.781798;2.942078;15.692751;0.163466;0.020223;0.107865;0.924936;0.114425;0.610332;0.039296;0.004861;0.025930;0;0;0;1.003929;0.124197;0.662457;-112343437#0;1.07;0.71
0.00;3000.00;806271971;758149.444147;7432.837688;33381.446923;11653.559360;114.250582;513.108169;70.965272;0.695738;3.124613;312.946973;3.068108;13.779108;13.872058;0.136001;0.610789;0;0;0;325.895289;3.195052;14.349224;-112343437#1;256.98;11.31
0.00;3000.00;806271971;407505.228733;7038.086852;32089.773831;7116.385646;122.908215;560.393315;42.093246;0.726999;3.314713;172.854647;2.985400;13.611768;7.977532;0.137781;0.628206;0;0;0;175.168478;3.025362;13.793975;-112343443;91.03;7.17
0.00;3000.00;806271971;51443.619896;308661.719377;89.696148;1214.234591;7285.407546;2.117117;6.737580;40.425477;0.011748;21.847344;131.084066;0.038093;0.991614;5.949685;0.001729;0;0;0;22.113618;132.681709;0.038557;-112343450#0;15.15;0.03
