interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;375776.224102;33451.889386;4727.185825;6233.236795;554.887548;78.412807;37.297430;3.320246;0.469194;157.325614;14.005248;1.979123;7.145215;0.636073;0.089885;0;0;0;161.529697;14.379498;2.032010;-112320365;114.34;1.44
0.00;3000.00;806271971;57796.462189;3448.819226;2974.322725;1238.514498;73.904396;63.736459;6.990213;0.417119;0.359730;23.900061;1.426160;1.229945;1.042604;0.062214;0.053655;0;0;0;24.844480;1.482515;1.278547;-112326324#0;44.17;2.27
0.00;3000.00;806271971;502887.089622;12997.297169;19783.780218;7489.175006;193.560414;294.627155;46.053242;1.190263;1.811753;210.171542;5.431959;8.268233;9.527082;0.246231;0.374799;0;0;0;216.168415;5.586950;8.504152;-112326324#1;107.83;4.24
0.00;3000.00;806271971;77926.423106;19769.917067;1598.478241;1215.174284;308.289459;24.926457;7.369473;1.869634;0.151167;32.013016;8.121695;0.656672;1.408205;0.357261;0.028886;0;0;0;33.497207;8.498234;0.687117;-112326325#0;20.12;0.41
0.00;3000.00;806271971;1097651.160370;9977.891012;23560.552130;12656.873350;115.053769;271.673675;83.036172;0.754817;1.782331;428.536643;3.895493;9.198332;17.296188;0.157226;0.371254;0;0;0;471.833524;4.289071;10.127679;-112326325#1;518.45;11.13
0.00;3000.00;806271971;115155.897654;17603.449323;1740.754471;1929.394353;294.939264;29.165696;11.432948;1.747712;0.172826;45.571708;6.966376;0.688885;1.883696;0.287954;0.028475;0;0;0;49.501010;7.567033;0.748282;-112326326#0;46.26;0.70
0.00;3000.00;806271971;703201.795826;11201.940196;13492.765171;7103.757667;113.162209;136.304166;48.507534;0.772721;0.930744;270.022876;4.301440;5.181095;10.554580;0.168134;0.202517;0;0;0;302.276577;4.815238;5.799967;-112326326#1;321.53;6.17
0.00;3000.00;806271971;2809927.177295;29898.143401;30261.356910;37274.911787;396.611936;401.430122;235.884912;2.509859;2.540350;1145.625282;12.189664;12.337749;50.000951;0.532019;0.538483;0;0;0;1207.862400;12.851879;13.008008;-112326326#2;896.36;9.65
0.00;3000.00;806271971;5315.974607;657.646343;3507.819979;64.665667;7.999876;42.670542;0.419901;0.051947;0.277078;2.150520;0.266044;1.419051;0.092420;0.011433;0.060985;0;0;0;2.285099;0.282693;1.507855;-112343437#0;1.17;0.78
0.00;3000.00;806271971;752508.691365;7377.536190;33144.309476;11514.601966;112.888255;507.161625;70.076306;0.687023;3.086517;307.588540;3.015574;13.547763;13.389011;0.131265;0.589720;0;0;0;323.471160;3.171286;14.247315;-112343437#1;258.78;11.40
0.00;3000.00;806271971;413240.696397;7137.145015;32662.667113;7512.639128;129.751971;593.801223;44.035169;0.760538;3.480553;176.161678;3.042516;13.923871;8.200648;0.141635;0.648182;0;0;0;177.633968;3.067944;14.040241;-112343443;92.62;7.32
0.00;3000.00;806271971;46961.770042;281770.620250;79.632177;1106.170862;6637.025172;1.875713;6.137964;36.827784;0.010408;19.722280;118.333680;0.033443;0.885694;5.314162;0.001502;0;0;0;20.187082;121.122495;0.034231;-112343450#0;15.94;0.03
0.00;3000.00;806271971;538933.052900;5333.330558;22616.991130;6228.680409;61.639588;261.394266;40.782411;0.403586;1.711484;210.044192;2.078616;8.814764;8.416494;0.083290;0.353209;0;0;0;231.664494;2.292573;9.722087;-112343450#1;238.98;10.03
0.00;3000.00;806271971;363010.457050;4657.961382;38517.455492;6104.844984;78.334196;647.758461;36.405114;0.467131;3.862788;152.547866;1.957415;16.186188;6.944258;0.089105;0.736825;0;0;0;156.042230;2.002253;16.556960;-112343453#0;82.22;8.72
0.00;3000.00;806271971;48597.451474;1756.005473;24372.113613;1256.109695;45.387884;629.951721;6.870193;0.248245;3.445471;21.168733;0.764905;10.616334;1.006084;0.036354;0.504561;0;0;0;20.890140;0.754838;10.476616;-112343453#1;11.29;5.66
0.00;3000.00;806271971;30925.601208;185553.607249;29.969510;379.411971;2276.471829;0.367682;2.441829;14.650972;0.002366;11.857298;71.143790;0.011491;0.451779;2.710675;0.000438;0;0;0;13.293674;79.762041;0.012883;-126303352#0;19.85;0.02
0.00;3000.00;806271971;164776.708207;13674.415619;2905.775677;2671.449674;221.697068;47.110017;15.983374;1.326421;0.281861;65.526669;5.437898;1.155538;2.695056;0.223656;0.047526;0;0;0;70.830950;5.878087;1.249077;-126303352#1;78.83;1.39
0.00;3000.00;806271971;4972703.109931;109390.352556;29632.708937;260277.868140;5725.635963;1551.015240;1302.426905;28.651004;7.761259;2240.367436;49.283977;13.350517;119.147869;2.621035;0.710011;0;0;0;2137.661294;47.024630;12.738483;-126303357#0;2626.93;15.65
0.00;3000.00;806271971;6622136.366145;79856.935377;40199.789051;100091.779541;1207.015732;607.608814;619.026348;7.464894;3.757810;2814.050505;33.934887;17.082740;148.517176;1.790982;0.901576;0;0;0;2846.533611;34.326604;17.279930;-126303357#1;776.85;4.72
0.00;3000.00;806271971;3446178.516484;118629.208829;19050.012681;51095.343762;1758.875861;282.448208;316.626361;10.899358;1.750268;1469.743389;50.593576;8.124544;74.022344;2.548101;0.409186;0;0;0;1481.345541;50.992962;8.188679;-126303357#2;377.51;2.09
0.00;3000.00;806271971;2008166.647950;147028.674652;9501.105489;32499.712455;2379.478642;153.763731;196.320890;14.373708;0.928840;858.579272;62.861204;4.062139;41.416080;3.032294;0.195949;0;0;0;863.217342;63.200782;4.084083;-126303357#3;279.31;1.32
0.00;3000.00;806271971;11798580.426331;594386.923241;36709.133031;641371.511397;32310.907375;1995.510585;3197.877151;161.102123;9.949612;5335.044234;268.767971;16.599018;283.220130;14.268017;0.881188;0;0;0;5071.981433;255.515437;15.780546;-126303357#4;5549.77;17.27
0.00;3000.00;806271971;4436648.747400;62451.360667;15770.438153;117151.883003;1649.058764;416.426143;640.895900;9.021409;2.278118;1880.188749;26.466000;6.683288;97.832824;1.377119;0.347755;0;0;0;1907.143850;26.845427;6.779102;-126303357#5;1950.87;6.93
0.00;3000.00;806271971;10702921.318477;153703.992127;34957.347787;171460.896151;2462.339342;560.017027;1046.654915;15.030947;3.418532;4559.643313;65.480756;14.892480;248.427288;3.567649;0.811401;0;0;0;4600.664075;66.069853;15.026460;-126303357#6;1166.45;3.81
0.00;3000.00;806271971;7015934.439151;251994.053486;34284.508236;365084.396632;13112.878658;1784.044465;1827.581796;65.641968;8.930777;3161.053822;113.536803;15.447005;166.866566;5.993412;0.815421;0;0;0;3016.003023;108.326957;14.738191;-126303358#0;3419.83;16.71
0.00;3000.00;806271971;383240.512314;27637.536946;1650.740887;13209.374109;952.599094;56.897048;69.363119;5.002148;0.298769;164.690428;11.876714;0.709375;8.780893;0.633237;0.037822;0;0;0;164.742405;11.880462;0.709599;-126303358#1;327.86;1.41
