tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
773.00;-421789039#1_0;18.21;12.77;733.00;0.00;637504388#5_0;5.10;0.00;tripinfo_733 emissions_733;40.00;733;0;422.02;1.05;0.00;9.44;DEFAULT_VEHTYPE;;0;0.00;145231.583649;2340.963832;14.044344;60.287229;2.691935;0;62.428726
774.00;-507342041#1_0;100.47;12.29;489.00;3.00;-6057281#2_0;5.10;0.00;tripinfo_486 emissions_486;285.00;486;0;1224.18;0.96;0.00;218.02;DEFAULT_VEHTYPE;;3;168.00;960044.317915;35240.980145;183.309267;422.803346;21.596273;0;412.692391
774.00;-6058243#0_0;71.65;4.36;708.00;0.00;507342041#4_0;5.10;0.00;tripinfo_708 emissions_708;66.00;708;0;596.20;0.99;0.00;20.86;DEFAULT_VEHTYPE;;0;0.00;204137.409843;3638.056613;21.334594;84.203786;3.688819;0;87.750214
777.00;130908064#7_0;134.85;9.72;644.00;0.00;507340350#0_0;5.10;0.00;tripinfo_644 emissions_644;133.00;644;0;1051.71;0.88;0.00;71.32;DEFAULT_VEHTYPE;;4;30.00;410578.980052;8650.238299;49.105142;172.971870;8.131332;0;176.491050
777.00;-6057932#4_0;34.17;11.57;745.00;0.00;6060452#2_0;5.10;0.00;tripinfo_745 emissions_745;32.00;745;0;258.92;0.89;0.00;8.35;DEFAULT_VEHTYPE;;0;0.00;106708.800263;2164.466111;12.376104;45.282527;2.063555;0;45.869672
778.00;-126303358#5_0;76.63;24.02;390.00;4.00;6057280#6_0;0.20;0.00;tripinfo_386 emissions_386;388.00;386;0;1833.06;1.12;0.00;310.55;DEFAULT_VEHTYPE;;8;221.00;1337693.680758;46150.184873;242.156624;588.533454;30.397117;0;575.029064
779.00;-507340350#0_0;71.40;17.91;710.00;0.00;-421789044#0_0;5.10;0.00;tripinfo_710 emissions_710;69.00;710;0;712.09;1.12;0.00;37.19;DEFAULT_VEHTYPE;;1;16.00;336242.786269;7197.604456;40.940110;143.881330;7.377054;0;144.536230
780.00;-800638463_1;14.16;6.41;599.00;0.00;130908153#2_0;5.10;0.00;tripinfo_599 emissions_599;181.00;599;0;1687.36;1.00;0.00;99.76;DEFAULT_VEHTYPE;;2;53.00;683211.951666;16023.512752;89.380448;290.405354;14.503229;0;293.685078
780.00;6057932#3_0;47.81;12.42;662.00;0.00;-507340350#2_0;0.82;0.00;tripinfo_662 emissions_662;118.00;662;0;1120.99;0.90;0.00;46.54;DEFAULT_VEHTYPE;;2;10.00;384427.671413;6518.287853;38.836640;160.777707;7.439668;0;165.248602
781.00;800638463_0;14.16;11.64;583.00;0.00;-126303357#1_0;5.10;0.00;tripinfo_583 emissions_583;198.00;583;0;1964.71;0.87;0.00;95.75;DEFAULT_VEHTYPE;;4;49.00;700871.664786;14331.620373;82.025398;295.209339;14.418141;0;301.275135
