tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
1986.00;507342041#2_0;21.31;9.56;1755.00;0.00;-392388948#1_0;5.10;0.00;tripinfo_1755 emissions_1755;231.00;1755;0;2141.66;1.02;0.00;126.93;DEFAULT_VEHTYPE;;2;67.00;980576.694282;22995.661576;128.330261;422.126591;21.303588;0;421.509133
1986.00;-507341800#3_0;135.08;14.59;1852.00;0.00;-6057932#7_0;5.10;0.00;tripinfo_1852 emissions_1852;134.00;1852;0;1652.22;1.08;0.00;36.91;DEFAULT_VEHTYPE;;1;5.00;472964.885245;6944.614164;42.899256;195.081894;9.094409;0;203.306274
1986.00;421789039#4_1;24.94;11.22;1952.00;0.00;130908023#2_0;0.13;0.00;tripinfo_1952 emissions_1952;34.00;1952;0;264.48;1.05;0.00;14.98;DEFAULT_VEHTYPE;;1;4.00;102740.219407;2075.623834;11.875643;43.496900;2.000765;0;44.163734
1987.00;421789039#5_0;0.20;10.23;1943.00;0.00;-6052591_0;0.20;0.00;tripinfo_1943 emissions_1943;44.00;1943;0;141.34;0.81;0.00;29.07;DEFAULT_VEHTYPE;;2;20.00;102640.535240;3754.356616;19.504187;44.708738;2.167906;0;44.122049
1988.00;6060452#10_1;43.76;10.32;1721.00;0.00;126303358#4_0;5.10;0.00;tripinfo_1721 emissions_1721;267.00;1721;0;1693.70;0.82;0.00;170.02;DEFAULT_VEHTYPE;;5;113.00;845845.524953;26331.056332;140.065677;365.882542;18.339258;0;363.599219
1988.00;130908064#2_1;32.34;15.71;1851.00;0.00;-131052367_0;5.10;0.00;tripinfo_1851 emissions_1851;137.00;1851;0;1088.55;1.09;0.00;68.15;DEFAULT_VEHTYPE;;2;38.00;455479.327461;10955.832981;60.673019;194.302533;9.312989;0;195.792528
1988.00;130908064#1_1;94.25;9.94;1928.00;0.00;-6056686#4_0;5.10;0.00;tripinfo_1928 emissions_1928;60.00;1928;0;395.84;0.93;0.00;28.86;DEFAULT_VEHTYPE;;1;19.00;150922.405025;3971.700578;21.630319;63.659651;2.928157;0;64.876071
1989.00;627757316_0;10.65;13.38;1938.00;2.00;6061786#6_0;5.10;0.00;tripinfo_1936 emissions_1936;51.00;1936;0;539.68;0.99;0.00;10.08;DEFAULT_VEHTYPE;;0;0.00;163853.925998;2591.278900;15.664203;67.495320;2.968314;0;70.433740
1989.00;6060452#11_0;154.07;11.98;1922.00;2.00;806271971_1;5.10;0.00;tripinfo_Flow3.20 emissions_Flow3.20;67.00;Flow3.20;0;414.00;0.94;21.00;13.26;motorcycle;;0;0.00;199586.329758;9696.595011;40.815456;43.402731;13.070712;0;85.805028
1990.00;6060452#9_1;6.05;6.14;1820.00;0.00;-793432602#1_0;5.10;0.00;tripinfo_1820 emissions_1820;170.00;1820;0;954.89;0.88;0.00;111.00;DEFAULT_VEHTYPE;;2;76.00;531316.808727;17137.445511;90.705814;230.894828;11.646566;0;228.394687
1990.00;-130908153#4_0;31.68;22.11;1883.00;0.00;-793432602#4_0;5.10;0.00;tripinfo_1883 emissions_1883;107.00;1883;0;947.02;1.01;0.00;53.20;DEFAULT_VEHTYPE;;1;35.00;422425.016909;10286.646014;56.974773;180.443882;8.954785;0;181.583608
1990.00;-421789039#7_0;57.60;10.70;1933.00;0.00;-6055023#2_0;5.10;0.00;tripinfo_1933 emissions_1933;57.00;1933;0;313.20;0.84;0.00;26.86;DEFAULT_VEHTYPE;;1;10.00;127668.888749;3146.639861;17.327362;54.382608;2.482822;0;54.879985
1991.00;-806271970#2_0;60.64;13.11;1763.00;0.00;-392388948#2_0;5.10;0.00;tripinfo_1763 emissions_1763;228.00;1763;0;2430.44;1.02;0.00;123.77;DEFAULT_VEHTYPE;;3;73.00;947039.690943;22648.220558;126.098731;405.650923;20.948227;0;407.093245
1991.00;-6060452#11_1;154.07;12.00;1934.00;0.00;6054053#1_0;1.73;0.00;tripinfo_1934 emissions_1934;57.00;1934;0;527.53;0.93;0.00;13.64;DEFAULT_VEHTYPE;;0;0.00;167930.244183;3011.451250;17.654651;69.296101;3.020702;0;72.186283
1991.00;6055576#1_0;124.93;13.49;1969.00;1.00;-6055576#0_0;5.10;0.00;tripinfo_1968 emissions_1968;22.00;1968;0;196.02;1.03;0.00;7.01;DEFAULT_VEHTYPE;;0;0.00;77553.008853;1452.282451;8.436116;32.165060;1.419128;0;33.336854
1993.00;421789039#0_0;62.12;13.36;1829.00;0.00;-6056686#16_0;5.10;0.00;tripinfo_1829 emissions_1829;164.00;1829;0;1893.06;1.05;0.00;55.98;DEFAULT_VEHTYPE;;2;18.00;577816.240103;9517.951620;57.097093;238.872124;11.222922;0;248.377873
1993.00;-6056686#8_0;55.38;13.66;1878.00;0.00;-6052103#1_0;5.10;0.00;tripinfo_1878 emissions_1878;115.00;1878;0;1241.96;1.03;0.00;53.60;DEFAULT_VEHTYPE;;2;18.00;451733.804896;8496.644957;49.565691;191.642645;9.481607;0;194.180353
1993.00;421790824#2_0;128.34;12.57;1903.00;0.00;507340350#1_0;5.10;0.00;tripinfo_1903 emissions_1903;90.00;1903;0;1450.73;1.00;0.00;22.29;DEFAULT_VEHTYPE;;0;0.00;490580.095716;7554.346734;46.361924;205.842949;10.410119;0;210.877369
1993.00;-6056686#11_0;19.17;8.91;1959.00;4.00;-6056686#7_0;5.10;0.00;tripinfo_1955 emissions_1955;34.00;1955;0;278.08;0.93;0.00;9.95;DEFAULT_VEHTYPE;;0;0.00;94205.039935;1808.079194;10.436351;38.838533;1.677303;0;40.494980
1994.00;6057281#4_1;28.41;12.50;1940.00;0.00;-6061786#11_0;0.20;0.00;tripinfo_1940 emissions_1940;54.00;1940;0;512.04;0.91;0.00;15.97;DEFAULT_VEHTYPE;;1;4.00;187562.717474;3090.802715;18.497836;77.379665;3.416500;0;80.625206
1997.00;-126303357#2_0;34.78;22.61;1885.00;0.00;6063369#5_0;5.10;0.00;tripinfo_1885 emissions_1885;112.00;1885;0;818.13;0.85;0.00;63.86;DEFAULT_VEHTYPE;;3;26.00;437528.062926;9709.374464;54.687733;188.022563;9.162546;0;188.074973
1998.00;-421789039#6_2;26.64;7.63;1899.00;0.00;-112343453#1_0;5.10;0.00;tripinfo_1899 emissions_1899;99.00;1899;0;909.30;0.94;0.00;24.27;DEFAULT_VEHTYPE;;0;0.00;266560.491640;4666.847854;27.516270;110.585475;4.842895;0;114.583158
2000.00;-6060104_0;190.74;14.20;1867.00;0.00;507342039_0;0.20;0.00;tripinfo_1867 emissions_1867;133.00;1867;0;1395.45;1.07;0.00;50.29;DEFAULT_VEHTYPE;;2;29.00;475982.903511;9668.229792;55.354648;199.638400;9.539295;0;204.605201
2001.00;421789039#6_2;26.64;10.63;1800.00;0.00;6054454#3_0;5.10;0.00;tripinfo_1800 emissions_1800;201.00;1800;0;1252.44;0.80;0.00;117.98;DEFAULT_VEHTYPE;;4;61.00;595995.519987;15719.735444;85.746129;255.441325;12.350012;0;256.195807
2001.00;6060452#6_0;5.09;5.44;1939.00;0.00;-806271970#0_0;5.10;0.00;tripinfo_1939 emissions_1939;62.00;1939;0;495.59;0.95;0.00;22.49;DEFAULT_VEHTYPE;;1;5.00;178806.197674;3345.112837;19.452118;74.948484;3.370076;0;76.861273
2002.00;6061783#6_0;21.87;10.60;1803.00;0.00;-6056686#11_0;5.10;0.00;tripinfo_1803 emissions_1803;199.00;1803;0;1679.60;1.10;0.00;117.83;DEFAULT_VEHTYPE;;3;59.00;832023.774787;18877.670140;105.939994;358.427138;17.735853;0;357.652138
2002.00;-392388948#3_0;83.02;22.25;1888.00;0.00;-421800694#4_0;5.10;0.00;tripinfo_1888 emissions_1888;114.00;1888;0;986.85;0.80;0.00;44.65;DEFAULT_VEHTYPE;;1;19.00;374003.018676;7897.787763;44.852856;157.075838;7.401357;0;160.768623
2003.00;-799540093#5_0;28.47;28.37;1942.00;0.00;6061782#3_0;5.10;0.00;tripinfo_1942 emissions_1942;61.00;1942;0;657.82;1.02;0.00;22.58;DEFAULT_VEHTYPE;;1;5.00;299205.957094;5271.963415;31.237242;126.357468;6.237606;0;128.615184
2003.00;-6055576#0_0;31.06;11.14;1961.00;0.00;6058243#3_0;5.10;0.00;tripinfo_1961 emissions_1961;42.00;1961;0;360.86;0.83;0.00;8.51;DEFAULT_VEHTYPE;;0;0.00;115629.677473;2103.102319;12.281224;47.690531;2.048924;0;49.704482
2004.00;-6061786#13_0;46.38;13.48;1951.00;0.00;6060452#8_0;5.10;0.00;tripinfo_1951 emissions_1951;53.00;1951;0;525.56;1.04;0.00;20.07;DEFAULT_VEHTYPE;;1;4.00;227634.654206;3914.566644;23.278950;97.034813;4.618455;0;97.849832
2005.00;-57692667#0_0;0.47;11.56;1794.00;0.00;-6056686#8_0;5.10;0.00;tripinfo_1794 emissions_1794;211.00;1794;0;1866.19;1.05;0.00;116.08;DEFAULT_VEHTYPE;;2;58.00;825231.876644;19264.402288;107.512368;353.994887;17.541029;0;354.733245
2005.00;130908153#4_0;31.45;11.89;1814.00;4.00;6054524#4_0;5.10;0.00;tripinfo_1810 emissions_1810;191.00;1810;0;1510.53;0.98;0.00;115.80;DEFAULT_VEHTYPE;;3;70.00;663737.244282;17486.190109;95.568409;286.176859;14.432766;0;285.314622
2005.00;-6061783#3_0;52.29;17.28;1843.00;0.00;-112320365_0;5.10;0.00;tripinfo_1843 emissions_1843;162.00;1843;0;1681.65;1.25;0.00;92.77;DEFAULT_VEHTYPE;;2;31.00;698612.906386;13653.720925;78.962915;298.592689;14.750043;0;300.302877
2005.00;126303358#3_1;0.20;22.80;1959.00;0.00;-637504388#3_0;5.10;0.00;tripinfo_1959 emissions_1959;46.00;1959;0;546.69;0.86;0.00;18.81;DEFAULT_VEHTYPE;;0;0.00;225663.083276;3987.934445;23.588431;95.167771;4.614284;0;97.002511
2006.00;-421789039#1_0;18.21;13.48;1771.00;0.00;6054454#2_0;5.10;0.00;tripinfo_1771 emissions_1771;235.00;1771;0;1502.93;1.05;0.00;155.63;DEFAULT_VEHTYPE;;4;100.00;779225.776530;22409.247926;120.621550;336.214161;16.701698;0;334.960405
2006.00;-6062805#3_1;0.34;6.07;1876.00;0.00;126303358#0_0;5.10;0.00;tripinfo_1876 emissions_1876;130.00;1876;0;839.95;0.97;0.00;81.37;DEFAULT_VEHTYPE;;2;46.00;411732.490266;11809.151878;63.554858;177.571166;8.673160;0;176.988715
